Product_Sold | Description,Old Price,Discount Percentages,Current Prices,Rating_out_of_5,Number of Ratings,Link,Unit Available,Sale Type,Brand,Use_Case,RAM,ROM,USD Price,Seller Name,Seller Score,Door Delivery Fees,Door Delivery Date,Door Delivery Ready Time,Pickup Fees,Pickup Date,Pickup Ready Time
Lenovo IdeaPad 1 15IAU7- Intel Core I7-1255U- 8GB RAM- 512GB SSD- Integrated Graphics- 15.6 FHD - Abyss Blue,19691.0,2.0,19326.0,0.0,0.0,https://www.jumia.com.eg/asus-vivobook-16x-d1603qa-mb005w-16.0-inch-amd-ryzentm-5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-transparent-silver-47571457.html,5,information not available,Lenovo,Unknown,8 GB ,512GB SSD,625.44,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
"DELL Inspiron G3 3500 - Intel Core I7-10750H - 16GB -1TB+256GB SSD - NVIDIA GeForce GTX 1650 4 GB -15.6"" FHD - Black",24499.0,4.0,23592.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-5-laptop-intel-core-i7-1165g7-12gb-ram-1tb-ssd-15.6-inch-fhd-nvidia-450-2gb-silver-44860778.html,1,Back to school offers,DELL,Unknown,16 GB ,256GB SSD,763.5,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
Asus ROG Strix SCAR- G533QS -HF017T-15.6-Inch Fhd -R9-5900HX Processer-32GB RAM-1TB SSD-16GB Nvidia GeForce RTX 3080 16GB -Win10,35000.0,3.0,33799.0,0.0,0.0,https://www.jumia.com.eg/lenovo-thinkpad-e14-intel-core-i7-1165g7-8gb-ram-512-ssd-14-inch-fhd-nvidiarmx450-freedos-no-windows-black-37851571.html,2,Back to school offers,Asus,Unknown,32 GB ,1TB SSD,1093.82,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
"HP Victus 15-fb0033ne - AMD Ryzen 7-5800H - 16GB - 512GB SSD -NVIDIA GeForce RTX 3050 Ti 4GB - 15.6"" FHD - Win11 - Mica Silver",0.0,0.0,25000.0,2.0,0.0,https://www.jumia.com.eg/vostro-3515-laptop-amd-ryzen-5-3450u-8gb-ram-512-gb-ssd-amd-vga-8-graphics-15.6-inch-fhd-ubuntu-black-dell-mpg864846.html,1,information not available,HP,Unknown,16 GB ,512GB SSD,809.06,flash TECH,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
DELL G15 5520 Gaming Laptop -15.6-Inch-Intel Core I7-12th -16GB -512GB SSD -NVIDIA RTX 3060 6GB -Dos -Dark Shadow Grey,19999.0,5.0,19050.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-5-laptop-amd-ryzen7-5700u-8gb-ram-512-ssd-15.6-inch-fhd-amd-radeon-rx640-2gb-silver-44860783.html,1,Back to school offers,DELL,Gaming,16 GB ,512GB SSD,616.5,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
Asus VivoBook 15- X1502ZA-EJ005W -15.6 Inch FHD-Intel Core I5-1235U -512GB SSD -8GB Ram -Intel - Win11,0.0,0.0,11499.0,0.0,0.0,https://www.jumia.com.eg/lenovo-ideapad-3-15itl6-intelr-coretm-i3-1115g4-ram-4gb-1tb-hhd-integrated-intelr-uhd-15.6-fhd-arctic-grey-dos-47373486.html,3,information not available,Asus,Unknown,512 GB ,512GB SSD,372.14,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Lenovo IdeaPad 3 15ITL6- Intel Core I3-1115G4- 4GB RAM- 256GB SSD- Integrated Graphics- 15.6 FHD - SAND,39000.0,1.0,38500.0,0.0,0.0,https://www.jumia.com.eg/dell-g15-5511-gaming-laptop-intel-core-i7-11800h-16gb-ram-512gb-ssd-15.6-inch-fhd-nvidia-rtx-3050-4g-win11-home-grey-25912512.html,1,information not available,Lenovo,Unknown,4 GB ,256GB SSD,1245.95,New Vision Marketplace,46.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
DELL Laptop DELL VOSTRO 3520 CORE I7-1255U 12TH - 8GB DDR4 - 512 SSD 15.6 INCH FHD - UBUNTU,0.0,0.0,53999.0,0.0,0.0,https://www.jumia.com.eg/lenovo-legion-5-pro-16ith6h-intelr-coretm-i7-11800h-ram-16-gb-1tb-ssd-nvidiar-geforce-rtxtm-3060-6gb-16-wqxga-2560x1600-ips-stingray-dos-47373488.html,2,information not available,DELL,Laptop,8 GB ,512 SSD,1747.54,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"HP ENVY X360 13-bd0063dx Convert 2 In1 Laptop - Intel Core I5-1135G7 - 8GB RAM - 256GB SSD - 13.3"" FHD IPS Multiouch - Intel Iris Xe Graphics - FingerPrint - Backlit KB - Win 10 10- Pale Gold - (English/Arabic Keyboard)",21500.0,17.0,17850.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-5-a515-45g-r1re-amd-ryzen-5-5500u-512gb-ssd-8gb-ram-amd-radeon-rx640-2gb-15.6-inch-dos-no-windows-45176042.html,3,information not available,HP,Laptop,8 GB ,256GB SSD,577.67,Egypt-Laptop Marketplace,80.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Lenovo LEGION 5 -AMD RYZEN 7 5800H-16G RAM-1TB SSD-RTX 3070-8G -15.6FHD  165Hz BLUE+ GAMING MOUSE - DOS ""No Windows""",0.0,0.0,66200.0,0.0,0.0,https://www.jumia.com.eg/lenovo-legion-5-amd-ryzen-7-5800h-16g-ram-1tb-ssd-rtx-3070-8g-15.6fhd-165hz-blue-gaming-mouse-dos-no-windows-29859099.html,1,information not available,Lenovo,GAMING,unknown,1TB SSD,2142.39,Elite for trade Marketplace,50.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Lenovo Legion 5 15ITH6H Intel Corei7-11800H- Ram 16GB - 512 GB SSD - GPU RTX 3060 6GB-15.6"" IPS FHD165 HZ- DOS- Phantom Blue",45599.0,2.0,44599.0,0.0,0.0,https://www.jumia.com.eg/lenovo-legion-5-15ith6h-intel-rcoretmi7-11800h-ram-16gb-512-gb-ssd-gpu-rtx-3060-6gb-15.6-ips-fhd165-hz-dos-phantom-blue-47373483.html,1,information not available,Lenovo,Unknown,16 GB ,512 GB SSD,1443.33,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Asus TUF Gaming F15 FX507ZV4-LP007W (Intel Core I7-12700H - Ram 16GB - Hard 512 SSD-GPU NVIDIA GeForce RTX 4060 8GB - Display 15.6"" FHD 144HZ-OS Win 11 - Color JAEGER GRAY)",0.0,0.0,55555.0,0.0,0.0,https://www.jumia.com.eg/asus-tuf-gaming-f15-fx507zv4-lp007w-intel-core-i7-12700h-ram-16gb-hard-512-ssd-gpu-nvidiar-geforce-rtxtm-4060-8gb-display-15.6-fhd-144hz-os-win-11-color-jaeger-gray-47596445.html,1,information not available,Asus,Gaming,16 GB ,512 SSD,1797.9,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Asus ROG Flow X13 GV301QH-K5252T AMD R9-5980HS-32GB RAM-1TB SSD-GTX 1650 4GB With RTX 3080-13.4 FHD 60Hz Touch-Win10-Pen - BLACK,180000.0,42.0,103999.0,0.0,0.0,https://www.jumia.com.eg/asus-rog-flow-x13-gv301qh-k5252t-amd-r9-5980hs-32gb-ram-1tb-ssd-gtx-1650-4gb-with-rtx-3080-13.4-fhd-60hz-touch-win10-pen-black-34447868.html,2,information not available,Asus,Unknown,32 GB ,1TB SSD,3365.66,BS-Store Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
HP ENVY X360 13-bf0003ne - Intel Core I5-1230U - 8GB - 512GB SSD - Windows 11,34667.0,7.000000000000001,32099.0,0.0,0.0,https://www.jumia.com.eg/hp-envy-x360-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-windows-11-40532014.html,1,information not available,HP,Unknown,8 GB ,512GB SSD,1038.8,2B Stores Marketplace,86.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Lenovo IdeaPad 3 15ITL6- Intel Core I3-1115G4- 4GB RAM- 1TB HDD- Integrated- 15.6 FHD - Abyss Blue,16999.0,27.0,12399.0,0.0,0.0,https://www.jumia.com.eg/lenovo-ideapad-3-15itl6-intel-core-i3-1115g4-4gb-ram-1tb-hdd-integrated-15.6-fhd-abyss-blue-47596493.html,1,information not available,Lenovo,Unknown,4 GB ,1TB HDD,401.26,MoreShopping,74.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Apple MacBook Air 13.6 M2  256GB  Starlight  Arabic Keyboard,0.0,0.0,58800.0,0.0,0.0,https://www.jumia.com.eg/apple-macbook-air-13.6-m2-256gb-starlight-arabic-keyboard-38531684.html,1,information not available,Apple,Unknown,256 GB ,unknown,1902.91,Techmart Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
